Expression	Value	Location	Type	
robot	<struct>	0x2000'0000	RobotDrive_t	
rxBuffer	<array>"2\n20.00,0.00,6.2772\n20.00,0.00,6.2772\n20.00,0.00,6.2707\n20.0..."	0x2000'01f0	uint8_t[200]	
[0]	'2' (0x32)	0x2000'01f0	uint8_t	
[1]	'\n' (0x0A)	0x2000'01f1	uint8_t	
[2]	'2' (0x32)	0x2000'01f2	uint8_t	
[3]	'0' (0x30)	0x2000'01f3	uint8_t	
[4]	'.' (0x2E)	0x2000'01f4	uint8_t	
[5]	'0' (0x30)	0x2000'01f5	uint8_t	
[6]	'0' (0x30)	0x2000'01f6	uint8_t	
[7]	',' (0x2C)	0x2000'01f7	uint8_t	
[8]	'0' (0x30)	0x2000'01f8	uint8_t	
[9]	'.' (0x2E)	0x2000'01f9	uint8_t	
[10]	'0' (0x30)	0x2000'01fa	uint8_t	
[11]	'0' (0x30)	0x2000'01fb	uint8_t	
[12]	',' (0x2C)	0x2000'01fc	uint8_t	
[13]	'6' (0x36)	0x2000'01fd	uint8_t	
[14]	'.' (0x2E)	0x2000'01fe	uint8_t	
[15]	'2' (0x32)	0x2000'01ff	uint8_t	
[16]	'7' (0x37)	0x2000'0200	uint8_t	
[17]	'7' (0x37)	0x2000'0201	uint8_t	
[18]	'2' (0x32)	0x2000'0202	uint8_t	
[19]	'\n' (0x0A)	0x2000'0203	uint8_t	
[20]	'2' (0x32)	0x2000'0204	uint8_t	
[21]	'0' (0x30)	0x2000'0205	uint8_t	
[22]	'.' (0x2E)	0x2000'0206	uint8_t	
[23]	'0' (0x30)	0x2000'0207	uint8_t	
[24]	'0' (0x30)	0x2000'0208	uint8_t	
[25]	',' (0x2C)	0x2000'0209	uint8_t	
[26]	'0' (0x30)	0x2000'020a	uint8_t	
[27]	'.' (0x2E)	0x2000'020b	uint8_t	
[28]	'0' (0x30)	0x2000'020c	uint8_t	
[29]	'0' (0x30)	0x2000'020d	uint8_t	
[30]	',' (0x2C)	0x2000'020e	uint8_t	
[31]	'6' (0x36)	0x2000'020f	uint8_t	
[32]	'.' (0x2E)	0x2000'0210	uint8_t	
[33]	'2' (0x32)	0x2000'0211	uint8_t	
[34]	'7' (0x37)	0x2000'0212	uint8_t	
[35]	'7' (0x37)	0x2000'0213	uint8_t	
[36]	'2' (0x32)	0x2000'0214	uint8_t	
[37]	'\n' (0x0A)	0x2000'0215	uint8_t	
[38]	'2' (0x32)	0x2000'0216	uint8_t	
[39]	'0' (0x30)	0x2000'0217	uint8_t	
[40]	'.' (0x2E)	0x2000'0218	uint8_t	
[41]	'0' (0x30)	0x2000'0219	uint8_t	
[42]	'0' (0x30)	0x2000'021a	uint8_t	
[43]	',' (0x2C)	0x2000'021b	uint8_t	
[44]	'0' (0x30)	0x2000'021c	uint8_t	
[45]	'.' (0x2E)	0x2000'021d	uint8_t	
[46]	'0' (0x30)	0x2000'021e	uint8_t	
[47]	'0' (0x30)	0x2000'021f	uint8_t	
[48]	',' (0x2C)	0x2000'0220	uint8_t	
[49]	'6' (0x36)	0x2000'0221	uint8_t	
[50]	'.' (0x2E)	0x2000'0222	uint8_t	
[51]	'2' (0x32)	0x2000'0223	uint8_t	
[52]	'7' (0x37)	0x2000'0224	uint8_t	
[53]	'0' (0x30)	0x2000'0225	uint8_t	
[54]	'7' (0x37)	0x2000'0226	uint8_t	
[55]	'\n' (0x0A)	0x2000'0227	uint8_t	
[56]	'2' (0x32)	0x2000'0228	uint8_t	
[57]	'0' (0x30)	0x2000'0229	uint8_t	
[58]	'.' (0x2E)	0x2000'022a	uint8_t	
[59]	'0' (0x30)	0x2000'022b	uint8_t	
[60]	'0' (0x30)	0x2000'022c	uint8_t	
[61]	',' (0x2C)	0x2000'022d	uint8_t	
[62]	'0' (0x30)	0x2000'022e	uint8_t	
[63]	'.' (0x2E)	0x2000'022f	uint8_t	
[64]	'0' (0x30)	0x2000'0230	uint8_t	
[65]	'0' (0x30)	0x2000'0231	uint8_t	
[66]	',' (0x2C)	0x2000'0232	uint8_t	
[67]	'6' (0x36)	0x2000'0233	uint8_t	
[68]	'.' (0x2E)	0x2000'0234	uint8_t	
[69]	'2' (0x32)	0x2000'0235	uint8_t	
[70]	'6' (0x36)	0x2000'0236	uint8_t	
[71]	'7' (0x37)	0x2000'0237	uint8_t	
[72]	'5' (0x35)	0x2000'0238	uint8_t	
[73]	'\n' (0x0A)	0x2000'0239	uint8_t	
[74]	'2' (0x32)	0x2000'023a	uint8_t	
[75]	'0' (0x30)	0x2000'023b	uint8_t	
[76]	'.' (0x2E)	0x2000'023c	uint8_t	
[77]	'0' (0x30)	0x2000'023d	uint8_t	
[78]	'0' (0x30)	0x2000'023e	uint8_t	
[79]	',' (0x2C)	0x2000'023f	uint8_t	
[80]	'0' (0x30)	0x2000'0240	uint8_t	
[81]	'.' (0x2E)	0x2000'0241	uint8_t	
[82]	'0' (0x30)	0x2000'0242	uint8_t	
[83]	'0' (0x30)	0x2000'0243	uint8_t	
[84]	',' (0x2C)	0x2000'0244	uint8_t	
[85]	'6' (0x36)	0x2000'0245	uint8_t	
[86]	'.' (0x2E)	0x2000'0246	uint8_t	
[87]	'2' (0x32)	0x2000'0247	uint8_t	
[88]	'6' (0x36)	0x2000'0248	uint8_t	
[89]	'7' (0x37)	0x2000'0249	uint8_t	
[90]	'5' (0x35)	0x2000'024a	uint8_t	
[91]	'\n' (0x0A)	0x2000'024b	uint8_t	
[92]	'2' (0x32)	0x2000'024c	uint8_t	
[93]	'0' (0x30)	0x2000'024d	uint8_t	
[94]	'.' (0x2E)	0x2000'024e	uint8_t	
[95]	'0' (0x30)	0x2000'024f	uint8_t	
[96]	'0' (0x30)	0x2000'0250	uint8_t	
[97]	',' (0x2C)	0x2000'0251	uint8_t	
[98]	'0' (0x30)	0x2000'0252	uint8_t	
[99]	'.' (0x2E)	0x2000'0253	uint8_t	
[100]	'0' (0x30)	0x2000'0254	uint8_t	
[101]	'0' (0x30)	0x2000'0255	uint8_t	
[102]	',' (0x2C)	0x2000'0256	uint8_t	
[103]	'6' (0x36)	0x2000'0257	uint8_t	
[104]	'.' (0x2E)	0x2000'0258	uint8_t	
[105]	'2' (0x32)	0x2000'0259	uint8_t	
[106]	'6' (0x36)	0x2000'025a	uint8_t	
[107]	'7' (0x37)	0x2000'025b	uint8_t	
[108]	'5' (0x35)	0x2000'025c	uint8_t	
[109]	'\n' (0x0A)	0x2000'025d	uint8_t	
[110]	'2' (0x32)	0x2000'025e	uint8_t	
[111]	'0' (0x30)	0x2000'025f	uint8_t	
[112]	'.' (0x2E)	0x2000'0260	uint8_t	
[113]	'0' (0x30)	0x2000'0261	uint8_t	
[114]	'0' (0x30)	0x2000'0262	uint8_t	
